scenario,model,trial,elapsed_sec,rbac_patch,netpol_patch,podsec_patch,confidence
RBAC_PODSEC,gemini-2.0-flash,1,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,2,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,3,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,4,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,5,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,6,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,7,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,8,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,9,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,10,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,1,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,2,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,3,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,4,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,5,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,6,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,7,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,8,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,9,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,10,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,1,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,2,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,3,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,4,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,5,4,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,6,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,7,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,8,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,9,3,true,false,true,0.9
RBAC_PODSEC,gemini-2.0-flash,10,4,true,false,true,0.9
