scenario,model,trial,elapsed_sec,rbac_patch,netpol_patch,podsec_patch,confidence
NETPOL_MISSING,gemini-2.0-flash,1,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,2,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,3,2,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,4,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,5,2,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,6,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,7,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,8,2,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,9,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,10,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,1,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,2,2,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,1,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,2,2,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,3,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,4,3,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,5,2,false,true,true,0.9
NETPOL_MISSING,gemini-2.0-flash,6,2,false,true,true,0.9
